Scenario,Seed,QGA_Cost,PSO_Cost,Gain_Percentage
urban_iot,0,1.6549519300460815,1.6458011865615845,-0.5560054008476472
urban_iot,1,1.661197304725647,1.8102015256881714,8.231360920209067
urban_iot,2,1.6372393369674683,1.8713767528533936,12.511506062524438
urban_iot,3,1.521759033203125,1.5274121761322021,0.37011246979792645
urban_iot,4,1.6183953285217285,1.7571892738342285,7.89863376582355
urban_iot,5,1.742870807647705,1.8137344121932983,3.9070551933730964
urban_iot,6,1.5770565271377563,1.829410195350647,13.79426379355678
urban_iot,7,1.5203450918197632,1.7404119968414307,12.644529308063476
urban_iot,8,1.5659013986587524,1.6462246179580688,4.879238132093243
urban_iot,9,1.5030981302261353,1.6914571523666382,11.135902666937582
industrial_remote,0,11.314393043518066,10.849206924438477,-4.2877430794663045
industrial_remote,1,11.982132911682129,11.71651840209961,-2.26700885422517
industrial_remote,2,10.302901268005371,10.033275604248047,-2.6873144364056523
industrial_remote,3,10.662040710449219,12.034058570861816,11.401123339508068
industrial_remote,4,11.8356351852417,11.538246154785156,-2.5774197089148543
industrial_remote,5,12.235817909240723,12.344263076782227,0.8785066136955035
industrial_remote,6,10.956228256225586,10.499939918518066,-4.345628082145434
industrial_remote,7,11.690340995788574,11.25638484954834,-3.8551999779720285
industrial_remote,8,10.622369766235352,10.739805221557617,1.0934598244532567
industrial_remote,9,11.335411071777344,13.563459396362305,16.426844062972012
emergency_rescue,0,5.093799591064453,5.365818977355957,5.069484964726545
emergency_rescue,1,5.621169090270996,6.17247200012207,8.931638893463937
emergency_rescue,2,4.932241916656494,5.457190990447998,9.6194007999784
emergency_rescue,3,5.156607627868652,6.157288551330566,16.251973821263757
emergency_rescue,4,5.61079216003418,5.544776439666748,-1.1905930038073693
emergency_rescue,5,5.719229698181152,6.6710357666015625,14.267740448726308
emergency_rescue,6,5.417815208435059,6.325140476226807,14.344744930202769
emergency_rescue,7,5.273478984832764,5.719685077667236,7.801235326341727
emergency_rescue,8,5.228801250457764,5.773587703704834,9.435839225192478
emergency_rescue,9,5.56928825378418,7.435441493988037,25.09808249735735
